date,Twitter,fit,Pulse
2011-08-23 17:44,2,0,0 
2011-08-23 17:45,6,0,0 
2011-08-23 17:46,3,0,0 
2011-08-23 17:47,3,0,0 
2011-08-23 17:48,2,0,0 
2011-08-23 17:49,6,0,0 
2011-08-23 17:50,4,0,0 
2011-08-23 17:51,124, -0.000801,0
2011-08-23 17:52,4287, -0.000106556, 0
2011-08-23 17:53,12530,0.000587889,12465.05102
2011-08-23 17:54,19338,0.001282333,19974.59526
2011-08-23 17:55,23748,0.001976778,23395.99281
2011-08-23 17:56,25173,0.002671222,24769.34883
2011-08-23 17:57,25034,0.003365667,25121.11561
2011-08-23 17:58,24804,0.004060111,24967.62427
2011-08-23 17:59,24447,0.004754556,24568.4904
2011-08-23 18:00,23869,0.005449, 24054.14178
2011-08-23 18:01,23553,0.006143444,23489.99754
2011-08-23 18:02,22900,0.006837889,22908.76645
2011-08-23 18:03,22329,0.007532333,22326.70119
2011-08-23 18:04,21771,0.008226778,21751.77824
2011-08-23 18:05,21351,0.008921222,21187.81433
2011-08-23 18:06,20805,0.009615667,20636.53791
2011-08-23 18:07,20110,0.010310111,20098.63153
2011-08-23 18:08,19413,0.011004556,19574.25625
2011-08-23 18:09,19687,0.011699, 19063.31549
2011-08-23 18:10,19971,0.012393444,18565.58761
2011-08-23 18:11,19488,0.013087889,18080.79259
2011-08-23 18:12,19055,0.013782333,17608.62539
2011-08-23 18:13,18932,0.014476778,17148.77269
2011-08-23 18:14,18644,0.015171222,16700.92118
2011-08-23 18:15,17881,0.015865667,16264.7616
2011-08-23 18:16,17292,0.016560111,15839.99071
2011-08-23 18:17,16934,0.017254556,15426.31213
2011-08-23 18:18,16408,0.017949, 15023.4367
2011-08-23 18:19,16176,0.018643444,14631.08256
2011-08-23 18:20,15820,0.019337889,14248.97507
2011-08-23 18:21,15375,0.020032333,13876.84669
2011-08-23 18:22,15454,0.020726778,13514.43683
2011-08-23 18:23,14881,0.021421222,13161.49171
2011-08-23 18:24,14828,0.022115667,12817.76415
2011-08-23 18:25,14556,0.022810111,12483.01343
2011-08-23 18:26,14027,0.023504556,12157.00511
2011-08-23 18:27,14068,0.024199, 11839.51087
2011-08-23 18:28,14139,0.024893444,11530.30837
2011-08-23 18:29,13706,0.025587889,11229.18104
2011-08-23 18:30,13478,0.026282333,10935.91799
2011-08-23 18:31,13098,0.026976778,10650.31386
2011-08-23 18:32,13201,0.027671222,10372.1686
2011-08-23 18:33,12921,0.028365667,10101.28743
2011-08-23 18:34,12914,0.029060111,9837.480636
2011-08-23 18:35,12523,0.029754556,9580.563458
2011-08-23 18:36,12342,0.030449, 9330.35597
2011-08-23 18:37,12003,0.031143444,9086.682941
2011-08-23 18:38,11914,0.031837889,8849.373714
2011-08-23 18:39,11832,0.032532333,8618.26209
2011-08-23 18:40,11471,0.033226778,8393.186215
2011-08-23 18:41,11387,0.033921222,8173.988457
2011-08-23 18:42,11030,0.034615667,7960.515301
2011-08-23 18:43,10745,0.035310111,7752.617243
2011-08-23 18:44,10553,0.036004556,7550.148685
2011-08-23 18:45,10109,0.036699, 7352.967825
2011-08-23 18:46,9685, 0.037393444,7160.936571
2011-08-23 18:47,9746, 0.038087889,6973.920438
2011-08-23 18:48,9471, 0.038782333,6791.788444
2011-08-23 18:49,9221, 0.039476778,6614.413039
2011-08-23 18:50,8948, 0.040171222,6441.669999
2011-08-23 18:51,8750, 0.040865667,6273.438341
2011-08-23 18:52,8386, 0.041560111,6109.600248
2011-08-23 18:53,8212, 0.042254556,5950.040975
2011-08-23 18:54,8044, 0.042949, 5794.64878
2011-08-23 18:55,7874, 0.043643444,5643.314829
2011-08-23 18:56,7820, 0.044337889,5495.933139
2011-08-23 18:57,7641, 0.045032333,5352.400494
2011-08-23 18:58,7711, 0.045726778,5212.616369
2011-08-23 18:59,7576, 0.046421222,5076.482867
2011-08-23 19:00,7183, 0.047115667,4943.904651
2011-08-23 19:01,7048, 0.047810111,4814.788867
2011-08-23 19:02,6923, 0.048504556,4689.04509
2011-08-23 19:03,6956, 0.049199, 4566.585259
2011-08-23 19:04,6777, 0.049893444,4447.323607
2011-08-23 19:05,6455, 0.050587889,4331.17661
2011-08-23 19:06,6452, 0.051282333,4218.062928
2011-08-23 19:07,6263, 0.051976778,4107.903339
2011-08-23 19:08,6228, 0.052671222,4000.620695
2011-08-23 19:09,6328, 0.053365667,3896.139862
2011-08-23 19:10,6212, 0.054060111,3794.387667
